Time, xOrient, yOrient, zOrient, xGyro, yGyro, zGyro, xAccel, yAccel, zAccel, CalS, CalA, CalG, CalM, Depth
44135, 35.69, 0.37, -6.00, 6.88, 1.12, -1.56, 0.08, 1.32, 9.08, 0, 3, 3, 3, 0
44275, 35.88, 0.37, -6.00, -5.88, 0.19, -0.44, -0.44, 0.24, 8.75, 0, 3, 3, 3, 0
44416, 36.00, 0.31, -6.06, 2.50, 0.81, -0.56, 0.21, 1.38, 9.79, 0, 3, 3, 3, 0
44556, 36.13, 0.44, -6.06, -8.94, -0.19, -0.06, 0.39, 1.69, 10.67, 0, 3, 3, 3, 0
44694, 36.25, 0.44, -6.19, 7.81, 0.25, -2.19, 0.18, 2.08, 11.41, 0, 3, 3, 3, 0
44834, 36.38, 0.44, -6.19, 1.00, 0.06, -0.50, -0.03, 0.59, 8.97, 0, 3, 3, 3, 0
44979, 36.50, 0.37, -6.31, -9.81, -1.06, -0.31, 0.11, 2.10, 10.96, 0, 3, 3, 3, 0
45173, 36.69, 0.44, -6.25, -7.88, -1.00, 0.06, 0.21, 1.00, 9.33, 0, 3, 3, 3, 0
45313, 36.81, 0.50, -6.44, -7.94, -1.25, 0.06, 0.03, 0.55, 9.30, 0, 3, 3, 3, 0
45451, 36.94, 0.50, -6.50, 2.50, 0.44, -1.00, -0.01, 1.08, 9.38, 0, 3, 3, 3, 0
45590, 37.00, 0.63, -6.50, 3.44, -0.44, -0.75, -0.30, 0.39, 8.50, 0, 3, 3, 3, 0
45731, 37.19, 0.69, -6.56, -7.44, -1.31, -0.56, 0.29, 1.08, 10.20, 0, 3, 3, 3, 0
45873, 37.31, 0.69, -6.56, -2.13, -0.50, -0.63, -0.06, 0.75, 9.42, 0, 3, 3, 3, 0
46016, 37.38, 0.69, -6.69, 5.38, 0.75, -1.31, 0.14, 0.24, 9.17, 0, 3, 3, 3, 0
46154, 37.50, 0.69, -6.63, 3.81, -0.06, -1.19, 0.20, 1.41, 10.02, 0, 3, 3, 3, 0
46292, 37.56, 0.69, -6.50, -6.13, -0.06, 0.50, 0.08, 0.57, 8.44, 0, 3, 3, 3, 0
46431, 37.63, 0.75, -6.31, -16.37, -0.69, 1.50, -0.02, 0.32, 8.71, 0, 3, 3, 3, 0
46571, 37.69, 0.69, -6.31, -4.25, -0.06, -0.19, -0.24, 0.63, 8.90, 0, 3, 3, 3, 0
46709, 37.75, 0.69, -6.00, -13.50, 0.44, 0.94, -0.27, -0.03, 8.48, 0, 3, 3, 3, 0
46850, 37.75, 0.69, -5.69, 7.25, 0.44, -1.06, 0.09, 1.54, 10.59, 0, 3, 3, 3, 0
46985, 37.81, 0.69, -5.56, 5.50, 0.69, -1.19, 0.30, 1.95, 11.00, 0, 3, 3, 3, 0
47123, 37.75, 0.69, -5.38, 3.44, 0.25, -0.25, 0.24, 1.96, 10.16, 0, 3, 3, 3, 0
47257, 37.81, 0.75, -5.19, -13.31, 0.06, 1.56, -0.43, 0.41, 8.58, 0, 3, 3, 3, 0
47395, 37.81, 0.81, -5.06, -14.63, -0.44, 1.50, -0.09, 0.86, 9.29, 0, 3, 3, 3, 0
47533, 37.81, 0.81, -5.00, -0.63, 0.56, 0.06, -0.01, 1.52, 11.08, 0, 3, 3, 3, 0
47713, 37.88, 0.81, -4.88, -6.75, 0.44, 0.63, -0.14, 0.28, 9.09, 0, 3, 3, 3, 0
47851, 37.88, 0.88, -4.81, -2.00, 0.37, 0.00, 0.08, 0.74, 9.86, 0, 3, 3, 3, 0
47990, 37.88, 0.81, -4.75, -0.75, 0.69, -0.19, -0.07, 1.56, 10.17, 0, 3, 3, 3, 0
48131, 37.88, 0.69, -4.75, 7.19, -0.25, -1.56, -0.28, 0.23, 8.66, 0, 3, 3, 3, 0
48268, 37.94, 0.75, -4.44, 2.06, -0.94, -0.25, -0.03, -0.01, 8.29, 0, 3, 3, 3, 0
48406, 38.00, 0.75, -4.31, -10.19, -0.63, -0.19, -0.93, -0.19, 8.63, 0, 3, 3, 3, 0
48548, 38.13, 0.63, -4.31, 9.50, 1.81, -2.19, -0.25, 1.62, 10.00, 0, 3, 3, 3, 0
48688, 38.19, 0.56, -4.13, -3.38, -0.44, -0.31, -0.19, -0.45, 8.64, 0, 3, 3, 3, 0
48827, 38.31, 0.37, -4.19, 3.13, 0.94, -0.88, -0.33, 0.64, 9.74, 0, 3, 3, 3, 0
48966, 38.44, 0.37, -4.25, 5.63, 0.19, -1.31, -0.07, 1.55, 10.81, 0, 3, 3, 3, 0
49106, 38.50, 0.31, -4.31, -3.19, -0.44, -0.25, -0.12, 1.15, 8.89, 0, 3, 3, 3, 0
49248, 38.56, 0.25, -4.50, 1.69, -0.50, -1.75, -0.59, -0.46, 8.58, 0, 3, 3, 3, 0
49388, 38.69, 0.06, -4.50, 10.63, 1.25, -1.63, -0.72, 0.48, 9.87, 0, 3, 3, 3, 0
49530, 38.75, 0.06, -4.50, 9.88, -0.44, -1.75, -0.36, 1.50, 10.86, 0, 3, 3, 3, 0
49670, 38.81, 0.06, -4.63, 4.75, -1.19, -0.75, -1.09, -0.05, 7.80, 0, 3, 3, 3, 0
